標題,連結,內文,來源,時間,圖片,is_disaster
美國中、南部遭龍捲風與暴雨襲擊 已知1人死亡,https://money.udn.com/money/story/10511/8651577?from=edn_subcatelist_cate,"美國中部與南部大片區域今天遭龍捲風肆虐，強風吹毀房屋與商家，刮倒電線與樹木。媒體報導，密蘇里州東南部至少有1人死亡。
綜合路透社與美聯社報導，美國國家氣象局（National Weather Service）表示，截至今天晚間，起碼已有4州共收到至少15起龍捲風通報，風暴亦帶來冰雹和暴雨。
根據密蘇里州KFVS-TV電視台報導，密蘇里州公路警察（Missouri State Highway Patrol）表示，州內東南部至少有1人死亡。
美國國家氣象局亦指出，數百萬人處於龍捲風與暴洪警報，危險將持續到明天凌晨。
此外，猛烈的暴風雨預計襲擊全美國數日，「自今天起，致災與恐創歷史新高的強降雨將持續多日」。
美國國家氣象局氣象學家克利鮑爾（ScottKleebauer）表示：「今晚天氣可用『混亂』形容」，「有一大片風暴正緩慢向東移動，從密西根州東南部一直延伸到阿肯色州東南部。」
密蘇里州內華達鎮（Nevada）遭受龍捲風襲擊。密蘇里州緊急事務管理局在社群媒體寫著，強風暴「對多家企業造成重大損失，電線桿折斷，火車多節空車廂被掀翻」！
美國國家氣象局向密蘇里州、阿肯色州、田納西州、密西西比州、印第安納州、伊利諾州、肯塔基州與奧克拉荷馬州的部分地區發布龍捲風與暴洪警報。
美國國家氣象局指出，未來幾天阿肯色州、密蘇里州、田納西州與密西西比州的降雨威脅將是「世代級洪災」。部分地區到週末可能會降下多達38.1公分的雨量，河流可能決堤，引發「災難性洪水」。
根據電力供應追蹤網站PowerOutage.us，風暴襲擊地區有超過35萬用戶斷電。",經濟日報,2025-04-03,,True
美國中、南部遭龍捲風與暴雨襲擊 已知1人死亡,https://money.udn.com/money/story/10511/8651577?from=edn_subcatelist_cate,"美國中部與南部大片區域今天遭龍捲風肆虐，強風吹毀房屋與商家，刮倒電線與樹木。媒體報導，密蘇里州東南部至少有1人死亡。
綜合路透社與美聯社報導，美國國家氣象局（National Weather Service）表示，截至今天晚間，起碼已有4州共收到至少15起龍捲風通報，風暴亦帶來冰雹和暴雨。
根據密蘇里州KFVS-TV電視台報導，密蘇里州公路警察（Missouri State Highway Patrol）表示，州內東南部至少有1人死亡。
美國國家氣象局亦指出，數百萬人處於龍捲風與暴洪警報，危險將持續到明天凌晨。
此外，猛烈的暴風雨預計襲擊全美國數日，「自今天起，致災與恐創歷史新高的強降雨將持續多日」。
美國國家氣象局氣象學家克利鮑爾（ScottKleebauer）表示：「今晚天氣可用『混亂』形容」，「有一大片風暴正緩慢向東移動，從密西根州東南部一直延伸到阿肯色州東南部。」
密蘇里州內華達鎮（Nevada）遭受龍捲風襲擊。密蘇里州緊急事務管理局在社群媒體寫著，強風暴「對多家企業造成重大損失，電線桿折斷，火車多節空車廂被掀翻」！
美國國家氣象局向密蘇里州、阿肯色州、田納西州、密西西比州、印第安納州、伊利諾州、肯塔基州與奧克拉荷馬州的部分地區發布龍捲風與暴洪警報。
美國國家氣象局指出，未來幾天阿肯色州、密蘇里州、田納西州與密西西比州的降雨威脅將是「世代級洪災」。部分地區到週末可能會降下多達38.1公分的雨量，河流可能決堤，引發「災難性洪水」。
根據電力供應追蹤網站PowerOutage.us，風暴襲擊地區有超過35萬用戶斷電。",經濟日報,2025-04-03,,True
緬甸強烈地震：逾百人遇難，軍政府罕有向國際求援，泰國曼谷高樓倒塌,https://www.bbc.com/zhongwen/articles/cy5n53vk7q9o/trad,"緬甸軍政府證實，發生在該國的一場強烈地震已造成超過140人死亡。備受孤立的軍政府最高領導人敏昂萊將軍（Gen Min Aung Hlaing）罕有呼籲國際社會提供援助。
敏昂萊星期五（3月28日）晚間發表全國電視講話，警告死亡人數還將上升。他同時邀請世界各國前往緬甸提供人道援助。
據美國地質調查局（USGS）測定，在仰光時間星期五12:50（06:20 GMT），發生了強度為7.7級的地震，震中位於中部實皆市（Sagaing）西北面16公里處，鄰近該國第二大城市曼德勒（Mandalay），距離首都內比都（Naypyidaw）大約100公里。地震震源深度為10公里。
中國雲南和泰國廣泛地區均有震感，其中泰國曼谷一座建設中高樓倒塌，上百人下落不明，現場已發現遇難者。
中國地震台網稱此次地震震級為7.9，震源深度30公里。BBC泰語網報導，泰國氣象局測得震級達8.2級。
圖像來源，
REUTERS
圖像來源，
BBC NEWS BURMESE
緬甸2021年發生軍事政變後，信息遭到封鎖，互聯網也受到限制。敏昂萊星期五晚間發表講話之際，國營電視台首次公布，地震導致至少144人死亡，732人受傷。
敏昂萊稱，他已接受印度與東盟（ASEAN）成員國提供協助，同時邀請世界各國與任何組織幫助與捐款。相關「通路」已經打開。
敏昂萊表態後，反對陣營民族團結政府（NUG）發言人薩薩（Sasa）透過網上社交媒體發文，呼籲國際社會透過「獨立、本地和受信賴的渠道」送來援助。
民族團結政府是2021年軍事政變奪權後，原民選政府改組抗衡軍政府的組織。
BBC緬甸語網在緬甸最大城市仰光的記者報導，曼德勒當地一位救援隊伍人員稱「損毀範圍廣泛」，目前仍無法確定傷亡人數，但「起碼數以百計」。
目擊者對BBC稱，仰光市內應急車輛的警號聲響個不停。
來自曼德勒市的照片顯示有多棟樓房倒塌，紅十字國際委員會稱當地供電與通訊線路中斷。地震發生時，機場內的旅客紛紛俯伏在地上。
BBC國際部記者Ko Ko Aung介紹說，1885年英國控制緬甸前，曼德勒是緬甸皇城。近年曼德勒引進了許多中國投資，帶動了地方經濟，但當地人民認為中國人在曼德勒形成了一股主導勢力。
中國湖南《瀟湘晨報》引述一名身處曼德勒的華人稱：「酒店倒塌了幾十棟，人沒了，貨也沒了，損失非常大。」
這位華人還說：「中國人、本地人，死了多少人都不知道，現在半個城市都是消防員。」
軍事政變以來，政府軍與反對派武裝交戰不斷，曼德勒被反政府陣營視為重要攻擊目標。BBC記者指出，這讓當地長期面對電力等供應緊張。
圖像來源，
AFP
在泰國首都曼谷，一棟未完工的30層高樓發生垮塌，政府官員表示尚有117名建築工人情況未明。BBC在曼谷記者報導，截至曼谷時間20:00（13:00GMT），市政府確認已有八人遇難。
泰國國家緊急醫療中心稍早前在 Facebook 發文稱，塌樓時工地有約320人在場，其中20人被困在升降機槽內。
泰國總理貝東丹（Paetongtarn Shinawatra；佩通坦）傍晚時分到樓房倒塌現場視察。她向記者發言時保證，首都建築物抗震能力均優於標準。
英國地質調查局（BGS）地震學家拉克特博士（Dr Richard Luckett）對BBC稱，從曼谷的情況來判斷，他預期緬甸災情將是十分嚴重。
「地震本身距離一座人口120萬的城市只有16公里，我們認為在震動最猛烈區域內大概也有個200完多人，恐怕我們得預期傷亡者眾。」
圖像來源，
BBC NEWS BURMESE
圖像來源，
BBC NEWS BURMESE
圖像來源，
AFP
圖像來源，
AFP
圖像來源，
EPA
官方中國中央電視台報導，此次緬甸地震在雲南西雙版納、德宏、昆明、麗江、保山、大理等地震感強烈，貴州、廣西等地亦有震感反饋。
網上影片顯示，雲南德宏州瑞麗市民眾事發時爭相躲避高樓大廈飛灰，當地政府稱有兩人輕傷；四川攀枝花有網民上載影片，顯示家中吊燈在地震期間搖晃。
中共《人民日報》稱，雲南省抗震救災指揮部啓動地震應急四級響應——即中國地震應急預案中的最初級別——省應急管理廳派出工作組指導抗震救災工作。
相比於泰國，緬甸更經常發生地震。
USGS資料顯示，1930年到1956年，實皆斷層（Sagaing Fault）發生過六次7.0級以上的強烈地震，該斷層橫貫緬甸中心區域。
2016年，位於中部曼德勒省的古都蒲甘（Bagan）發生6.8級地震，三人遇難，多座寺廟等旅遊名勝坍塌。
泰國並不在地震區域，這裏感受到的地震幾乎都發生在緬甸。曼谷市的建築並沒有考慮強震因素，因此地震帶來的結構性損傷可能非常嚴重。",BBC News 中文,2025-03-28,https://ichef.bbci.co.uk/images/ic/512xn/p0l0yq7g.jpg.webp,True
東加王國附近7.0地震 海嘯警報解除迄無傷亡災損,https://money.udn.com/money/story/5599/8642792,"太平洋島國東加王國附近發生規模7.0地震，太平洋海嘯警報中心原本針對該國發布的海嘯警報後來解除。
美聯社報導，美國地質調查所（U.S. GeologicalSurvey）表示，當地時間今天凌晨這起地震震央在東加王國主要島嶼東北方約100公里處，震源深度為29公里。數小時後，同一地區又發生規模6.1地震。
總部設在美國夏威夷州的太平洋海嘯警報中心（Pacific Tsunami Warning Center）於第一起地震發生後曾發布海嘯警報，表示可能出現帶來危害的海浪，後來則表示海嘯威脅不復存在。東加王國災難管理辦公室後來也解除警報。
該辦公室主任馬卡（Mafua Maka）於震後數小時告訴紐西蘭國家廣播電台（Radio New Zealand），沒有傷亡或建築受損通報。當地媒體報導，將於天亮之後展開進一步評估。
當地時間凌晨1時18分發生地震後響起海嘯警報，東加廣播委員會（Tonga Broadcasting Commission）在影音直播中敦促居民往內陸遷移。首都努瓜婁發（Nuku'alofa）民眾紛紛移往內陸或高地，後來警報解除，居民才重返家園。
位處玻里尼西亞群島中的東加王國由171個島嶼組成，人口略多於10萬人，大部分人住在主要島嶼東加塔布島（Tongatapu）上。距離紐西蘭東北方1800公里的東加王國位處地震和火山活動頻繁的太平洋火環帶（Pacific Ring of Fire）上。",經濟日報,2025-03-31,,True
東加王國附近7.0地震 海嘯警報解除迄無傷亡災損,https://money.udn.com/money/story/5599/8642792,"太平洋島國東加王國附近發生規模7.0地震，太平洋海嘯警報中心原本針對該國發布的海嘯警報後來解除。
美聯社報導，美國地質調查所（U.S. GeologicalSurvey）表示，當地時間今天凌晨這起地震震央在東加王國主要島嶼東北方約100公里處，震源深度為29公里。數小時後，同一地區又發生規模6.1地震。
總部設在美國夏威夷州的太平洋海嘯警報中心（Pacific Tsunami Warning Center）於第一起地震發生後曾發布海嘯警報，表示可能出現帶來危害的海浪，後來則表示海嘯威脅不復存在。東加王國災難管理辦公室後來也解除警報。
該辦公室主任馬卡（Mafua Maka）於震後數小時告訴紐西蘭國家廣播電台（Radio New Zealand），沒有傷亡或建築受損通報。當地媒體報導，將於天亮之後展開進一步評估。
當地時間凌晨1時18分發生地震後響起海嘯警報，東加廣播委員會（Tonga Broadcasting Commission）在影音直播中敦促居民往內陸遷移。首都努瓜婁發（Nuku'alofa）民眾紛紛移往內陸或高地，後來警報解除，居民才重返家園。
位處玻里尼西亞群島中的東加王國由171個島嶼組成，人口略多於10萬人，大部分人住在主要島嶼東加塔布島（Tongatapu）上。距離紐西蘭東北方1800公里的東加王國位處地震和火山活動頻繁的太平洋火環帶（Pacific Ring of Fire）上。",經濟日報,2025-03-31,,True
大洋洲島國東加規模7.1強震 海嘯警報發布,https://news.ltn.com.tw/news/world/breakingnews/4996677,"大洋洲島國東加外海發生規模7.1強震。（擷取自美國地質調查局；本報合成）
李秋明／核稿編輯
〔即時新聞／綜合報導〕大洋洲島國東加今（30）日發生芮氏規模7.1、深度僅10公里的強烈地震，美國太平洋海嘯警報中心後續也發出海嘯警報。
《美聯社》報導，美國地質調查局（USGS）表示，這場地震發生在當地時間週一淩晨，震央位東加主島東加塔布（Tongatapu）東北約100公里處。
美國太平洋海嘯警報中心後續發布海嘯警告稱，震央300公里內的海岸應警戒海嘯，浪高可能約0.3到1公尺。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-03-30,https://img.ltn.com.tw/Upload/news/600/2025/03/30/phptON0sd.png,True
東加規模7.3強震觸發海嘯警報 專家曝對台影響,https://news.ltn.com.tw/news/life/breakingnews/4996751,"大洋洲島國東加外海發生規模7.3強震。（擷取自美國地質調查局；本報合成）
陳定瑜／核稿編輯
〔即時新聞／綜合報導〕大洋洲島國東加週日（30日）晚間發生芮氏規模7.3的強震，震央在塔布島東北方外海。我國氣象署第一時間發布海嘯消息，不過地震測報中心主任吳健富表示，台灣民眾無須過度擔心。
本月28日緬甸才發生規模8.2的超強地震，造成慘重災情，引發國際關注。今晚8點多東加又發生規模7.3的強震，美國太平洋海嘯警報中心（Pacific Tsunami Warning Center）後續發出海嘯警報，我國氣象署也在30日晚間8點30分發布海嘯消息，近日有關地震的國際新聞頻傳，讓不少台灣民眾相當擔憂。
不過根據《NOWnews今日新聞》報導，地震測報中心主任吳健富表示，東加群島本來就是地震好發帶，只要規模達到7以上且深度又淺，就容易引起海水波動，太平洋海嘯警報中心中心基於防災考量，向周邊國家發布海嘯資訊，台灣被列為「不受影響區域」，氣象署發布的海嘯資訊並非警報，民眾不用過度擔憂。
由於東加群島上人口較少，目前暫未傳出災情。氣象署的海嘯資訊，已於30日晚間9點27分解除。
氣象署30日晚間8點30分發布海嘯消息。（圖翻攝自中央氣象署地震測報中心）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-03-31,https://img.ltn.com.tw/Upload/news/600/2025/03/30/php0gD5gL.png,True
緬甸強烈地震：逾百人遇難，軍政府罕有向國際求援，泰國曼谷高樓倒塌,https://www.bbc.com/zhongwen/articles/cy5n53vk7q9o/trad,"緬甸軍政府證實，發生在該國的一場強烈地震已造成超過140人死亡。備受孤立的軍政府最高領導人敏昂萊將軍（Gen Min Aung Hlaing）罕有呼籲國際社會提供援助。
敏昂萊星期五（3月28日）晚間發表全國電視講話，警告死亡人數還將上升。他同時邀請世界各國前往緬甸提供人道援助。
據美國地質調查局（USGS）測定，在仰光時間星期五12:50（06:20 GMT），發生了強度為7.7級的地震，震中位於中部實皆市（Sagaing）西北面16公里處，鄰近該國第二大城市曼德勒（Mandalay），距離首都內比都（Naypyidaw）大約100公里。地震震源深度為10公里。
中國雲南和泰國廣泛地區均有震感，其中泰國曼谷一座建設中高樓倒塌，上百人下落不明，現場已發現遇難者。
中國地震台網稱此次地震震級為7.9，震源深度30公里。BBC泰語網報導，泰國氣象局測得震級達8.2級。
圖像來源，
REUTERS
圖像來源，
BBC NEWS BURMESE
緬甸2021年發生軍事政變後，信息遭到封鎖，互聯網也受到限制。敏昂萊星期五晚間發表講話之際，國營電視台首次公布，地震導致至少144人死亡，732人受傷。
敏昂萊稱，他已接受印度與東盟（ASEAN）成員國提供協助，同時邀請世界各國與任何組織幫助與捐款。相關「通路」已經打開。
敏昂萊表態後，反對陣營民族團結政府（NUG）發言人薩薩（Sasa）透過網上社交媒體發文，呼籲國際社會透過「獨立、本地和受信賴的渠道」送來援助。
民族團結政府是2021年軍事政變奪權後，原民選政府改組抗衡軍政府的組織。
BBC緬甸語網在緬甸最大城市仰光的記者報導，曼德勒當地一位救援隊伍人員稱「損毀範圍廣泛」，目前仍無法確定傷亡人數，但「起碼數以百計」。
目擊者對BBC稱，仰光市內應急車輛的警號聲響個不停。
來自曼德勒市的照片顯示有多棟樓房倒塌，紅十字國際委員會稱當地供電與通訊線路中斷。地震發生時，機場內的旅客紛紛俯伏在地上。
BBC國際部記者Ko Ko Aung介紹說，1885年英國控制緬甸前，曼德勒是緬甸皇城。近年曼德勒引進了許多中國投資，帶動了地方經濟，但當地人民認為中國人在曼德勒形成了一股主導勢力。
中國湖南《瀟湘晨報》引述一名身處曼德勒的華人稱：「酒店倒塌了幾十棟，人沒了，貨也沒了，損失非常大。」
這位華人還說：「中國人、本地人，死了多少人都不知道，現在半個城市都是消防員。」
軍事政變以來，政府軍與反對派武裝交戰不斷，曼德勒被反政府陣營視為重要攻擊目標。BBC記者指出，這讓當地長期面對電力等供應緊張。
圖像來源，
AFP
在泰國首都曼谷，一棟未完工的30層高樓發生垮塌，政府官員表示尚有117名建築工人情況未明。BBC在曼谷記者報導，截至曼谷時間20:00（13:00GMT），市政府確認已有八人遇難。
泰國國家緊急醫療中心稍早前在 Facebook 發文稱，塌樓時工地有約320人在場，其中20人被困在升降機槽內。
泰國總理貝東丹（Paetongtarn Shinawatra；佩通坦）傍晚時分到樓房倒塌現場視察。她向記者發言時保證，首都建築物抗震能力均優於標準。
英國地質調查局（BGS）地震學家拉克特博士（Dr Richard Luckett）對BBC稱，從曼谷的情況來判斷，他預期緬甸災情將是十分嚴重。
「地震本身距離一座人口120萬的城市只有16公里，我們認為在震動最猛烈區域內大概也有個200完多人，恐怕我們得預期傷亡者眾。」
圖像來源，
BBC NEWS BURMESE
圖像來源，
BBC NEWS BURMESE
圖像來源，
AFP
圖像來源，
AFP
圖像來源，
EPA
官方中國中央電視台報導，此次緬甸地震在雲南西雙版納、德宏、昆明、麗江、保山、大理等地震感強烈，貴州、廣西等地亦有震感反饋。
網上影片顯示，雲南德宏州瑞麗市民眾事發時爭相躲避高樓大廈飛灰，當地政府稱有兩人輕傷；四川攀枝花有網民上載影片，顯示家中吊燈在地震期間搖晃。
中共《人民日報》稱，雲南省抗震救災指揮部啓動地震應急四級響應——即中國地震應急預案中的最初級別——省應急管理廳派出工作組指導抗震救災工作。
相比於泰國，緬甸更經常發生地震。
USGS資料顯示，1930年到1956年，實皆斷層（Sagaing Fault）發生過六次7.0級以上的強烈地震，該斷層橫貫緬甸中心區域。
2016年，位於中部曼德勒省的古都蒲甘（Bagan）發生6.8級地震，三人遇難，多座寺廟等旅遊名勝坍塌。
泰國並不在地震區域，這裏感受到的地震幾乎都發生在緬甸。曼谷市的建築並沒有考慮強震因素，因此地震帶來的結構性損傷可能非常嚴重。",BBC News 中文,2025-03-28,https://ichef.bbci.co.uk/images/ic/512xn/p0l0yq7g.jpg.webp,True
緬甸地震死亡人數超過1600人，民眾徒手挖掘倖存者,https://www.bbc.com/zhongwen/articles/c3evjv4pkzpo/trad,"圖像來源，
REUTERS
緬甸在週五（3月28日）發生毀滅性的地震，已造成1,600多人死亡，當地民眾告訴BBC，他們只能徒手在廢墟中挖掘倖存者。
地震使曼德勒（Mandalay）大部分地區夷為平地。曼德勒是緬甸的古都和第二大城市，約有150萬人口。
由於設備嚴重匱乏、通訊網路不暢、以及道路和橋樑受損，搜救工作受到阻礙。
緬甸軍政府或軍政府於2021年奪取政權，經過四年與叛亂組織的內戰和反政變抵抗之後，也不再能控制該國大部分地區。
儘管救援工作自周五開始展開，國際援助也開始進入該國。
圖像來源，
SUPPLIED
美國總統特朗普在週五表示美國願意伸出援手，但考慮到特朗普政府大幅削減美國國際開發總署（USAID）資金，美國將如何實施何種程度的救援在此關頭尚是一個未知數。
美國國際開發總署前高級官員莎拉·查爾斯（Sarah Charles）曾在拜登政府時期負責監督救災隊伍和總體人道主義工作，她表示該系統現在「一片混亂」，沒有足夠的人力和資源迅速作出反應。
週五發生致命地震後，英國國王查爾斯三世（King Charles III）向緬甸人民致哀。在社交媒體上發布的一條消息中，查爾斯國王對地震造成1600多人死亡表示「震驚和悲傷」。
查爾斯三世在聲明中表示，他向所有失去親人、家園或生計的人們表示「最深切的同情」。
中國政府在3月29日下午表示向緬甸提供1億元人民幣用於救災援助，另有兩支救援隊，提供毛毯、帳篷、急救包等物資。
據中國駐緬甸大使館表示，目前已確認有12名中國公民受傷。
香港亦派出救援隊前往緬甸實施救助，並另從賑災基金中留出三千萬元。
台灣總統賴清德表示，如有需要，台灣願意提供必要協助。
圖像來源，
REUTERS
但援助尚未抵達受災最嚴重地區，一般民眾仍在試圖徒手挖出倖存者。
一些網路流傳的影片顯示，兩名男子正在搬運瓦礫，以救出一名被困在兩塊混凝土板之間的年輕女子。
BBC走訪了當地民眾，他們說人們在廢墟下大聲呼救。
在曼德勒一棟12層樓高的公寓大樓倒塌約30小時後，救援人員還從廢墟中救出一名活著的婦女，但紅十字會表示，可能仍有90多人被困在那裡。
曼德勒附近的一個城鎮裡，當局在一所倒塌的幼兒園建築下發現了12名學齡前兒童和一名老師的屍體。
聯合國人道機構人道協調廳稱，緬甸最大城市仰光、首都內比都和曼德勒之間的主要公路出現裂縫和路面變形，造成嚴重的交通中斷。
報告稱，災區目前還面臨醫療用品短缺的問題，包括創傷包、血袋、麻醉劑、基本藥物和供醫護人員使用的帳篷。
在其他地方，救援人員一直在尋找生命跡象的聲音。其中一人說道：「我們只有通過聲音去辨別、這樣才能救人。」
週六早些時候，曼德勒省皎塞縣辛特凱鎮（Sintkai）的一支救援隊從一所私立學校的廢墟中救出了多名被困人員。救援隊到達時，其中六人（五名女性和一名男性）已經死亡。受害者包括學生、老師和學校工作人員。
一名工作人員告訴BBC，缺乏設備極大地減緩了救援速度：「我們只能使用現有的設備實施救援，這導致我們得花好幾個小時才能救出一名被困在倒塌學校下面的女孩。」
圖像來源，
EPA
曼德勒的另一名工人告訴仰光的BBC記者，通訊幾乎無法進行。
「最主要的是我們沒有網路線路，也沒有電話線路，所以很難互相聯絡。救援隊已經到了。但我們不知道他們會去哪裡，因為電話線路斷了。」
一名曼德勒居民說，在混亂的環境中，人們正在盡最大努力。
「救援工作沒有協調，沒有人帶領他們，也沒有人告訴他們該怎麼做。當地人不得不自己想辦法。如果他們在廢墟中發現屍體，他們甚至不知道把屍體送到哪裡；醫院不堪重負，無力應對，」這位居民說。
緬甸軍政府估計，地震震央曼德勒地區受損建築物超過1,500棟。
停電使災區情況更加惡化，據官員稱，距離恢復供電還有幾天時間
曼德勒機場跑道在地震中受損，目前無法運作。軍事委員會表示他們一直在努力使其早日恢復運作，並已在那裡建立了一所臨時醫院、醫療救助營和避難所。
在距離曼德勒不到25公里（15英里）的地方是實皆省（Sagaing），兩地靠兩座橋樑連接，較舊的一座已經完全倒塌，較新的一座出現裂縫，導致救援隊通道受阻。
「現在，甚至連緊急救援的人手都不夠。我們沒辦法收拾屍體，被困的人太多了。我們沒法過橋，所以我們都被困在廢墟裡。請幫助緊急救援人員來救我們，」當地居民告訴BBC。
軍政府總部所在地、新建的首都內比都（Nay Pyi Taw）遭受了餘震和小地震的襲擊。該城市遭受了嚴重破壞，有大量人員傷亡，建築物倒塌，道路彎曲。
儘管軍政府罕見地向國際社會發出援助呼籲，但它仍繼續對其打擊的武裝團體實施空襲和無人機襲擊。
BBC證實，撣邦（Shan）北部瑙喬（Naungcho）的空襲造成7人死亡。這次襲擊發生在當地時間15:30左右，距離地震發生不到三個小時。
致力於推翻軍方權力的民主派叛軍團體報告稱，地震震央、中部實皆地區昌烏鎮（Chang-U）遭到空中轟炸。據報道，泰國邊境附近地區也遭遇了空襲。
聯合國緬甸人權問題特別報告員湯姆·安德魯斯（Tom Andrews）敦促軍政府停止轟炸。
